epoch,train_loss,val_loss,iou,dice,acc
1,0.4640,0.2884,0.0002,0.0003,0.9795
2,0.1985,0.1485,0.0000,0.0000,0.9800
3,0.1246,0.1053,0.0017,0.0033,0.9800
4,0.0958,0.0887,0.0040,0.0076,0.9800
5,0.0804,0.0775,0.0170,0.0318,0.9802
6,0.0729,0.0726,0.0138,0.0260,0.9802
7,0.0686,0.0690,0.0516,0.0914,0.9804
8,0.0637,0.0639,0.0664,0.1170,0.9808
9,0.0611,0.0634,0.0581,0.1030,0.9808
10,0.0601,0.0589,0.1361,0.2239,0.9814
11,0.0587,0.0614,0.0975,0.1626,0.9811
12,0.0583,0.0656,0.0705,0.1219,0.9808
13,0.0563,0.0610,0.1153,0.1903,0.9813
14,0.0568,0.0615,0.0918,0.1541,0.9812
15,0.0551,0.0618,0.2288,0.3523,0.9809
16,0.0548,0.0562,0.1583,0.2545,0.9820
17,0.0539,0.0612,0.1210,0.1986,0.9814
18,0.0523,0.0567,0.1870,0.2960,0.9820
19,0.0530,0.0562,0.1627,0.2612,0.9821
20,0.0540,0.0560,0.1666,0.2685,0.9820
