epoch,train_loss,val_loss,iou,dice,accuracy,time_sec
1,0.8052059173583984,0.9524536480506262,0.08273574896156788,"tensor(0.0413, device='cuda:0')",0.931350365281105,8.58
2,0.706905010011461,0.6986543933550516,0.19872252953549227,"tensor(0.0553, device='cuda:0')",0.9635909050703049,6.88
3,0.6795741518338522,0.8653958439826965,0.14015094935894012,"tensor(0.0565, device='cuda:0')",0.9456421931584676,6.88
4,0.6645837280485365,0.6856930603583654,0.13558263021210828,"tensor(0.0675, device='cuda:0')",0.9194280902544657,6.88
5,0.6475806421703763,0.7921752035617828,0.2120942622423172,"tensor(0.0699, device='cuda:0')",0.961679607629776,6.89
6,0.6346141616503398,0.6316816409428915,0.29658473655581474,"tensor(0.0686, device='cuda:0')",0.9768638610839844,6.88
7,0.6226910259988573,0.6170470813910166,0.30658790841698647,"tensor(0.0697, device='cuda:0')",0.9799616237481436,6.87
8,0.6101038018862407,0.6318683375914892,0.19001631562908491,"tensor(0.0831, device='cuda:0')",0.9452604452768961,6.9
9,0.5993584500418769,0.5952128370602926,0.2868661011258761,"tensor(0.0798, device='cuda:0')",0.9751743078231812,6.88
10,0.5893266518910726,0.5973443488279978,0.22307557923098406,"tensor(0.0893, device='cuda:0')",0.9574839373429617,6.88
11,0.5775887158181933,0.5752541621526083,0.295650498320659,"tensor(0.0937, device='cuda:0')",0.9734935065110525,6.89
12,0.5693180587556627,0.5658861100673676,0.3308394302924474,"tensor(0.0943, device='cuda:0')",0.9797659367322922,6.89
13,0.5587870928976271,0.5629263520240784,0.348367877304554,"tensor(0.0929, device='cuda:0')",0.9820365260044733,6.88
14,0.5470609055625067,0.5541526228189468,0.3195754910508792,"tensor(0.1041, device='cuda:0')",0.9774321764707565,6.88
15,0.5382347517543369,0.5388378848632177,0.32504119475682575,"tensor(0.0998, device='cuda:0')",0.9825438112020493,6.89
16,0.5295422693093618,0.5454404254754385,0.24719072257479033,"tensor(0.1311, device='cuda:0')",0.9567255874474844,6.9
17,0.5186855230066512,0.5274677922328314,0.2910592518746853,"tensor(0.1245, device='cuda:0')",0.9717827637990316,6.89
18,0.5105229410860274,0.524010126789411,0.2557789261142413,"tensor(0.1442, device='cuda:0')",0.9622091501951218,6.91
19,0.5003186444441478,0.5045060316721598,0.3300173034270604,"tensor(0.1479, device='cuda:0')",0.9759804854790369,6.9
20,0.49085145129097835,0.5294418185949326,0.20831389973560968,"tensor(0.1623, device='cuda:0')",0.9417285323143005,6.89
